block_time,transaction_signature,block_num,program_id,trade_type,wallet_address,token_address,is_buy,amount_in_sol,amount_in_token,change_in_sol,change_in_tokens,price_in_sol,virtual_sol_reserves,virtual_token_reserves,real_sol_reserves,real_token_reserves,fee_recipient,fee_basis_points,fee_amount,creator_address,creator_fee_basis_points,creator_fee_amount,ingested_at
1757782395,5xk1fk8eZFh7N6ydZc9YpaXx1QGEqbTDTFJX5WX7RhYucdxgiAvbG9NR4icwDhJgdasdYJh544GmQRZfv5s77BM,366586929,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,380000069,13421332211323,-380000069,13421332211323,0.0000000283,30380000069,1059578667788677,380000069,779678667788677,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,3610001,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,1140001,1757782412
1757782395,2ziUeTSA1ca2AoMnkESXPaCzFtpuYyHdLuFZicUJPULrQa9UoXNK9KYHo8eX5C9sJ2BR7uVniknk6pnHSeu8uV2H,366586929,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,6qLTMKJgbSNwAswYmWndG6mXHakSVmHRWuqGRYCMfftY,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,1444000276,48077924588073,-1444000276,48077924588073,0.0000000300,31824000345,1011500743200604,1824000345,731600743200604,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,13718003,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,4332001,1757782412
1757782395,3V33f18SJZrhkutgoQAf2LEvxRSFaxePYvuMqDjRyL563Q7pQ88v2of68hafjv7D5gi4pKjBboVdCSwucncrCVHA,366586929,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,DzboQe5f53CqfQ8wTwpHMW6Y5oYjmHJKo4taGwvj5xTY,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,1222000253,37404047134090,-1222000253,37404047134090,0.0000000327,33046000598,974096696066514,3046000598,694196696066514,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,11609003,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,3666001,1757782412
1757782395,5P63VFQEjoe3rmJLQ45PyMvFE58p68dTJ2euVepYgzZv6Bf1HKMAqQGGL7pX6xGqad8JD6sNK79dP9Be4mDNFKo,366586929,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,A9kuC8riRH2Ko81rfAJJNd7k5rvXQiitLrxroDKAMqvQ,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,1000000221,28611199173662,-1000000221,28611199173662,0.0000000350,34046000819,945485496892852,4046000819,665585496892852,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,9500003,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,3000001,1757782412
1757782395,3CZuYVbKRXpuZRvViktEnQLPAfygCB57jRYsQkPBuA3QsrEiMA6y1XGAKqBqEgEbwCLKy53XkddzvHma52d3uuD1,366586929,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,J7QEKn8F5VV5eyG88JGfcVsFrn2gCyzm34MeKsnn1MGD,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,629201933,17156390000000,-629201933,17156390000000,0.0000000367,34675202752,928329106892852,4675202752,648429106892852,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,95,5977419,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,1887606,1757782412
1757782397,48epnPdYi8QEB5qomf6XpSYhGVX3CpzhEicWx2tSmzdas375yHhN1V7HW2HKqCBnXEwDBoi72cnCtPnTsRxsMBJh,366586935,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,J7QEKn8F5VV5eyG88JGfcVsFrn2gCyzm34MeKsnn1MGD,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,false,629201932,17156390000000,629201932,-17156390000000,0.0000000367,34046000820,945485496892852,4046000820,665585496892852,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,95,5977419,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,1887606,1757782416
1757782400,25cYirrZhf4JJvFwQKtoYit6qCm4Dzyf2wUA2A7sdw9jEPkZdVDGeyma6aC6o4K34oWwW8eUK96gjKSX33qNALAS,366586941,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,7btThDToNEkqqbJYBFSHaNfy9WtwwRPvjDihucw8Ao7C,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,10000000,277626695480,-10000000,277626695480,0.0000000360,34056000820,945207870197372,4056000820,665307870197372,CebN5WGQ4jvEPvsVU4EoHEpgzq1VV7AbicfhtW4xC9iM,95,95000,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,30000,1757782420
1757782400,yANGDfaDkwmMZFoztJYZHE35v1ebke8Z9jvHUiLbzpvTWupBjj9TK4Fki165E6jyXgBSkN484281Q9a8Pk8aAru,366586942,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,97jv9pjCf5D7VUZEyj6XnXBC5JF23Vsagc3bvSF6GRmL,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,150000000,4144921274945,-150000000,4144921274945,0.0000000362,34206000820,941062948922427,4206000820,661162948922427,CebN5WGQ4jvEPvsVU4EoHEpgzq1VV7AbicfhtW4xC9iM,95,1425000,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,450000,1757782420
1757782402,C1ocgp1MjTntULjLZ5w8Md3daJe4sve55RCGrL85ZoW9Tc8Wb5EUPVbGagagYeQ9iqU1SEhTJdvemwbDdRAxZiJ,366586948,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,umRVxp7eGSFKVCUFixMqQStxNPwn9Ebcxok1CxMDnYf,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,750000000,20191017139695,-750000000,20191017139695,0.0000000371,34956000820,920871931782732,4956000820,640971931782732,G5UZAVbAf46s7cKWoyKu8kYTip9DGTpbLZ2qa9Aq69dP,95,7125000,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,2250000,1757782420
1757782405,2pMKXMm4Xif1a8v37eVHkFo1PXwNX4Gz489G3XPJ7XLh2sBwXNzxKMhBHVBaQSEGx55EeDqL3oxEUrSRFn37ZXJW,366586954,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,trade,6b2rc3rqGNB62gqGtNiZ6myD8GHEZ2Dzj67ceXfmk8iZ,FCuk4XWLR6fAJFTcQoMrm3KeywSt2X6wK4Ufh4Xjpump,true,59572226,1566685507763,-59572226,1566685507763,0.0000000380,35015573046,919305246274969,5015573046,639405246274969,CebN5WGQ4jvEPvsVU4EoHEpgzq1VV7AbicfhtW4xC9iM,95,565937,Ab6VFq1eje9J8zNCqE9RdjYESMTPgz6cdir5gzWv2fxt,30,178717,1757782424
